"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"56448","FRB 20180727A","13:10:31.200","+26:03:00.00","FRB","","642.15","1.62","pc/cc","21.33","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","9461009","","","1","1","2020-03-27","","","2018-07-27 00:52:13.000","CHIME_FRB_bot","",""
"56447","FRB 20180725A","06:17:26.400","+66:34:48.00","FRB","","716.55","1.62","pc/cc","71.25","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","9386707","","","1","1","2020-03-27","","","2018-07-25 17:59:43.000","CHIME_FRB_bot","",""
"64974","FRB 20180714A","17:46:12.000","-11:45:47.00","FRB","","1467.92","0.3","pc/cc","257","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180714","","","1","1","","0.6","BPSR-MB20","2018-07-14 10:00:08.700","FRBCAT_bot","",""
"64973","FRB 20180528A","06:38:49.800","-49:53:59.00","FRB","","899.3","0.6","pc/cc","69","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180528","","","1","1","","13.8","Other-","2018-05-28 04:24:00.900","FRBCAT_bot","",""
"64972","FRB 20180525A","14:39:60.000","-02:12:00.00","FRB","","388.1","0.3","pc/cc","31","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180525","","","1","1","","78.9","Clear-","2018-05-25 15:19:06.515","FRBCAT_bot","",""
"64971","FRB 20180515A","23:13:12.000","-42:14:46.00","FRB","","355.2","0.5","pc/cc","0.5","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180515","","","1","1","","24.2","Clear-","2018-05-15 21:57:26.485","FRBCAT_bot","",""
"64970","FRB 20180430A","06:50:60.000","-09:57:00.00","FRB","","264.1","0.5","pc/cc","165.44","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180430","","","1","1","","147.5","Clear-","2018-04-30 09:59:58.700","FRBCAT_bot","",""
"64969","FRB 20180417A","12:24:56.000","+14:13:00.00","FRB","","474.8","","pc/cc","26.15","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180417","","","1","1","","21.8","Clear-","2018-04-17 13:18:31.000","FRBCAT_bot","",""
"64968","FRB 20180324A","06:15:60.000","-34:46:60.00","FRB","","431","0.4","pc/cc","70","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180324","","","1","1","","16.5","Clear-","2018-03-24 09:31:46.706","FRBCAT_bot","",""
"64967","FRB 20180321A","00:33:00.000","+42:01:48.00","FRB","","594","5","pc/cc","70","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180321","","","1","1","","0.54","Clear-","2018-03-21 07:05:54.000","FRBCAT_bot","",""
"64966","FRB 20180315A","19:34:60.000","-26:49:60.00","FRB","","479","0.4","pc/cc","36","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180315","","","1","1","","23.3","Clear-","2018-03-15 05:05:30.985","FRBCAT_bot","",""
"64965","FRB 20180311A","21:31:33.420","-57:44:26.70","FRB","","1570.9","0.5","pc/cc","45.2","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180311","","","1","1","","0.15","BPSR-MB20","2018-03-11 04:11:54.800","FRBCAT_bot","",""
"64964","FRB 20180309A","21:24:43.800","-33:58:44.50","FRB","","263.42","0.01","pc/cc","44.69","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180309","","","1","1","","27.6","BPSR-MB20","2018-03-09 02:49:32.990","FRBCAT_bot","",""
"64963","FRB 20180301A","06:12:43.400","+04:33:44.80","FRB","","522","5","pc/cc","155","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180301","","","1","1","","1.2","BPSR-MB20","2018-03-01 07:34:19.760","FRBCAT_bot","",""
"64962","FRB 20180212A","14:20:60.000","-03:34:60.00","FRB","","167.5","0.5","pc/cc","33","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180212","","","1","1","","53","Clear-","2018-02-12 23:45:04.399","FRBCAT_bot","",""
"64961","FRB 20180131A","21:49:54.000","-40:40:60.00","FRB","","657.7","0.5","pc/cc","40","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180131","","","1","1","","22.2","Clear-","2018-01-31 05:45:04.320","FRBCAT_bot","",""
"64960","FRB 20180130A","21:52:12.000","-38:34:00.00","FRB","","343.5","0.4","pc/cc","39","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180130","","","1","1","","23.1","Clear-","2018-01-30 04:55:29.993","FRBCAT_bot","",""
"64959","FRB 20180128B","22:22:00.000","-60:15:00.00","FRB","","495.9","0.7","pc/cc","40","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180128.2","","","1","1","","28.7","Clear-","2018-01-28 04:53:26.796","FRBCAT_bot","",""
"64958","FRB 20180128A","13:56:00.000","-06:43:00.00","FRB","","441.4","0.2","pc/cc","32","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180128.0","","","1","1","","17.5","Clear-","2018-01-28 00:59:38.617","FRBCAT_bot","",""
"64957","FRB 20180119A","03:29:18.000","-12:43:60.00","FRB","","402.7","0.7","pc/cc","36","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180119","","","1","1","","40.7","Clear-","2018-01-19 12:24:30.747","FRBCAT_bot","",""
"64956","FRB 20180110A","21:52:60.000","-35:27:00.00","FRB","","715.7","0.2","pc/cc","38","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180110","","","1","1","","128.1","Clear-","2018-01-10 07:34:34.959","FRBCAT_bot","",""
"64955","FRB 20171216A","03:28:00.000","-57:04:00.00","FRB","","203.1","0.5","pc/cc","37","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB171216","","","1","1","","21","Clear-","2017-12-16 17:59:10.822","FRBCAT_bot","",""
"64954","FRB 20171213A","03:38:60.000","-10:55:60.00","FRB","","158.6","0.2","pc/cc","36","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB171213","","","1","1","","88.6","Clear-","2017-12-13 14:22:40.467","FRBCAT_bot","",""
"64953","FRB 20171209A","15:50:25.000","-46:10:20.00","FRB","","1457.4","0.03","pc/cc","13","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB171209","","","1","1","","1.48","BPSR-MB20","2017-12-09 20:34:23.500","FRBCAT_bot","",""
"64952","FRB 20171116A","03:30:60.000","-17:13:60.00","FRB","","618.5","0.5","pc/cc","36","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB171116","","","1","1","","19.6","Clear-","2017-11-16 14:59:33.305","FRBCAT_bot","",""
"64951","FRB 20171020A","22:15:00.000","-19:40:00.00","FRB","","114.1","0.2","pc/cc","38","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB171020","","","1","1","","117.6","Clear-","2017-10-20 10:27:58.598","FRBCAT_bot","",""
"64950","FRB 20171019A","22:17:30.000","-08:40:00.00","FRB","","460.8","1.1","pc/cc","37","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB171019","","","1","1","","40.5","Clear-","2017-10-19 13:26:40.097","FRBCAT_bot","",""
"64949","FRB 20171004A","11:57:36.000","-11:54:00.00","FRB","","304","0.3","pc/cc","38","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB171004","","","1","1","","22","Clear-","2017-10-04 03:23:39.250","FRBCAT_bot","",""
"64948","FRB 20171003A","12:29:30.000","-14:07:00.00","FRB","","463.2","1.2","pc/cc","40","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB171003","","","1","1","","40.5","Clear-","2017-10-03 04:07:23.781","FRBCAT_bot","",""
"64947","FRB 20170922A","21:29:50.610","-07:59:40.49","FRB","","1111","1","pc/cc","45","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB170922","","","1","1","","5.19","Other-","2017-09-22 11:23:33.400","FRBCAT_bot","",""
"64946","FRB 20170906A","21:59:48.000","-19:57:00.00","FRB","","390.3","0.4","pc/cc","39","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB170906","","","1","1","","29.6","Clear-","2017-09-06 13:06:56.488","FRBCAT_bot","",""
"64944","FRB 20170827A","00:49:18.660","-65:33:02.30","FRB","","176.8","0.04","pc/cc","37","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB170827","","","1","1","","50.3","Other-","2017-08-27 16:20:18.000","FRBCAT_bot","",""
"65013","FRB 20170826A","05:31:58.700","+33:08:52.50","FRB","20121102A","565","5","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0.38","Other-","2017-08-26 13:52:01.252","FRBCAT_bot","",""
"64943","FRB 20170712A","22:36:00.000","-60:57:00.00","FRB","","312.79","0.07","pc/cc","38","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB170712","","","1","1","","37.8","Clear-","2017-07-12 13:22:17.394","FRBCAT_bot","",""
"64942","FRB 20170707A","02:59:00.000","-57:16:00.00","FRB","","235.2","0.6","pc/cc","36","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB170707","","","1","1","","14.8","Clear-","2017-07-07 06:17:34.354","FRBCAT_bot","",""
"64941","FRB 20170606A","05:33:60.000","+41:45:00.00","FRB","","247","5","pc/cc","250","YMW16","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB170606","","","1","1","","0.54","Clear-","2017-06-06 10:03:27.000","FRBCAT_bot","",""
