frb,utc,mjd,telescope,ra,dec,l,b,frequency,dm,flux,width,fluence,snr,reference
FRB 20190118A,2019-01-18 17:02:16,58501.70991,CHIME,16:53:14.4,+11:33:00,30.1,31.42,474.9,224.8,9,1.97,18,47.2,http://chime-frb.ca/catalog/FRB20190118A
FRB 20190118B,2019-01-18 2:47:48,58501.11653,CHIME,2:38:48,+23:36:00,152.53,-33.06,645,666.4,0.3,36.37,4,9.7,http://chime-frb.ca/catalog/FRB20190118B
FRB 20190121A,2019-01-21 23:33:29,58504.98159,CHIME,23:38:48,+78:36:00,119.26,16.25,523.2,423.8,2,7.86,11,31.3,http://chime-frb.ca/catalog/FRB20190121A
FRB 20190122A,2019-01-22 23:09:40,58505.96505,CHIME,23:18:24,+37:30:00,103.18,-21.77,694.2,1229.3,0.33,44.24,6,11.7,http://chime-frb.ca/catalog/FRB20190122A
FRB 20190122B,2019-01-22 0:03:23,58505.00235,CHIME,0:10:00,+35:06:00,113.46,-26.99,737.5,467.5,0.4,5.9,1.8,9.3,http://chime-frb.ca/catalog/FRB20190122B
FRB 20190122C,2019-01-22 13:14:23,58505.55165,CHIME,13:22:24,+17:36:00,341.32,78.07,466.7,690.7,4,14.75,50,43.2,http://chime-frb.ca/catalog/FRB20190122C
FRB 20190124A,2019-01-24 3:06:15,58507.12934,CHIME,3:22:00,+51:36:00,145.29,-4.64,529.5,1274.6,0.6,23.59,13,14.4,http://chime-frb.ca/catalog/FRB20190124A
FRB 20190124B,2019-01-24 14:07:34,58507.58859,CHIME,14:18:45.6,+28:48:00,42.99,70.67,434.2,443.2,1,14.75,12,14.5,http://chime-frb.ca/catalog/FRB20190124B
FRB 20190124C,2019-01-24 14:14:23,58507.59332,CHIME,14:28:40.8,+28:24:00,41.94,68.49,424.6,302.5,3,13.76,14,47.5,http://chime-frb.ca/catalog/FRB20190124C
FRB 20190124D,2019-01-24 15:30:30,58507.64618,CHIME,15:49:12,+81:12:00,115.61,33.2,402.1,341.3,0.5,4.92,2,9.1,http://chime-frb.ca/catalog/FRB20190124D
FRB 20190124E,2019-01-24 19:36:51,58507.81726,CHIME,19:51:12,+20:36:00,57.96,-3.09,625.6,614.6,0.6,18.68,7,13.6,http://chime-frb.ca/catalog/FRB20190124E
FRB 20190124F,2019-01-24 22:19:33,58507.93024,CHIME,22:35:36,+5:18:00,72.47,-43.87,425.6,253.9,4,1.97,6,35.9,http://chime-frb.ca/catalog/FRB20190124F
FRB 20190125A,2019-01-25 2:44:17,58508.11409,CHIME,3:02:48,+27:48:00,155.42,-26.64,655.5,562.9,0.4,13.76,3,9.4,http://chime-frb.ca/catalog/FRB20190125A
FRB 20190125B,2019-01-25 15:03:39,58508.62754,CHIME,15:26:00,+50:30:00,82.22,52.58,609.9,177.9,0.8,6.88,5,13.2,http://chime-frb.ca/catalog/FRB20190125B
FRB 20190126A,2019-01-26 1:32:45,58509.06441,CHIME,1:58:00.7502,+65:43:00.3151,129.71,3.73,595.4,351,0.7,6.88,4,11.6,http://chime-frb.ca/catalog/FRB20190126A
FRB 20190127B,2019-01-27 9:23:21,58510.39122,CHIME,10:03:36,+83:36:00,127.99,31.83,562.2,666.4,0.6,67.83,11,11.5,http://chime-frb.ca/catalog/FRB20190127B
FRB 20190128A,2019-01-28 1:00:35,58511.04207,CHIME,1:27:12,+24:40:12,133.18,-37.49,400.2,695.5,0.6,6.88,2,11.8,http://chime-frb.ca/catalog/FRB20190128A
FRB 20190128B,2019-01-28 8:02:02,58511.33475,CHIME,8:29:36,+23:18:00,200.92,31.35,515.9,247.5,0.8,1.97,1.6,14.1,http://chime-frb.ca/catalog/FRB20190128B
FRB 20190128C,2019-01-28 16:11:23,58511.67457,CHIME,4:39:12,+78:54:00,132.83,20.76,491.6,304.1,0.7,15.73,6,10.1,http://chime-frb.ca/catalog/FRB20190128C
FRB 20190128D,2019-01-28 18:24:34,58511.76706,CHIME,18:53:16.8,+17:24:00,48.75,7.46,419.5,428.6,1,4.92,4,9.4,http://chime-frb.ca/catalog/FRB20190128D
FRB 20190129A,2019-01-29 2:25:50,58512.10127,CHIME,3:00:24,+21:24:00,158.87,-32.31,707.7,478.8,0.5,8.85,5,12.7,http://chime-frb.ca/catalog/FRB20190129A
FRB 20190130A,2019-01-30 1:04:38,58513.04488,CHIME,1:42:24,+13:12:00,141.65,-47.84,467.7,1365.2,0.5,14.75,4,9.5,http://chime-frb.ca/catalog/FRB20190130A
FRB 20190130B,2019-01-30 10:53:48,58513.45403,CHIME,11:28:24,+16:03:00,238.61,67.8,487.1,988.3,0.8,3.93,2.9,23.6,http://chime-frb.ca/catalog/FRB20190130B
FRB 20190131B,2019-01-31 22:58:30,58514.95729,CHIME,23:38:48,+11:42:00,96.19,-47.36,798.1,1801.9,1,1.97,3,12.2,http://chime-frb.ca/catalog/FRB20190131B
FRB 20190131C,2019-01-31 10:22:23,58514.43221,CHIME,11:06:00,+10:24:00,241.74,60.05,501.4,506.3,0.8,0.98,2,13.6,http://chime-frb.ca/catalog/FRB20190131C
FRB 20190131D,2019-01-31 3:07:31,58514.13022,CHIME,3:50:00,+22:48:00,168.11,-24.08,508.7,642.1,3,1.97,7,18.7,http://chime-frb.ca/catalog/FRB20190131D
FRB 20190131E,2019-01-31 0:16:48,58514.01167,CHIME,13:02:36,+80:54:00,122.39,36.2,476.5,279.8,3,0.98,5,20.9,http://chime-frb.ca/catalog/FRB20190131E
FRB 20190201A,2019-02-01 15:36:13,58515.65015,CHIME,4:16:00,+84:48:00,127.32,23.83,476.6,241,3,0.98,3,11,http://chime-frb.ca/catalog/FRB20190201A
FRB 20190201B,2019-02-01 7:05:08,58515.29523,CHIME,7:52:48,+55:36:00,162.23,30.61,425.9,748.9,0.8,2.95,2,19.8,http://chime-frb.ca/catalog/FRB20190201B
FRB 20190202A,2019-02-02 22:04:08,58516.91954,CHIME,22:56:48,+17:06:00,87.49,-37.76,492.3,305.7,40,1.97,90,101,http://chime-frb.ca/catalog/FRB20190202A
FRB 20190202B,2019-02-02 6:51:06,58516.28549,CHIME,7:37:16.8,+32:30:00,187.06,23.2,536.2,464.2,1.6,0.98,3,20.2,http://chime-frb.ca/catalog/FRB20190202B
FRB 20190203A,2019-02-03 7:57:14,58517.33141,CHIME,8:54:48,+70:48:00,143.2,35.48,472.9,418.9,1.2,3.93,4,32,http://chime-frb.ca/catalog/FRB20190203A
FRB 20190203B,2019-02-03 7:49:39,58517.32615,CHIME,8:42:24,+61:54:00,154.26,36.7,437.5,580.7,0.5,2.95,0.9,9,http://chime-frb.ca/catalog/FRB20190203B
FRB 20190203C,2019-02-03 12:10:09,58517.50705,CHIME,13:04:00,+2:30:00,310.44,65.17,800.2,370.4,1,3.93,4,11.1,http://chime-frb.ca/catalog/FRB20190203C
FRB 20190204A,2019-02-04 9:47:48,58518.4082,CHIME,10:45:12,+61:30:00,145.59,49.68,418.2,448,0.2,7.86,1.5,10.1,http://chime-frb.ca/catalog/FRB20190204A
FRB 20190204B,2019-02-04 16:09:17,58518.67311,CHIME,17:03:36,+75:54:00,107.94,32.73,571.7,1463.8,1.3,2.95,4,28,http://chime-frb.ca/catalog/FRB20190204B
FRB 20190205A,2019-02-05 21:28:19,58519.89467,CHIME,22:48:48,+83:24:00,119.31,21.38,485.7,693.9,0.7,2.95,1.7,9.5,http://chime-frb.ca/catalog/FRB20190205A
FRB 20190206A,2019-02-06 15:11:24,58520.63292,CHIME,16:19:36,+9:24:00,23.27,37.95,534.5,187.6,1,5.9,9,13.4,http://chime-frb.ca/catalog/FRB20190206A
FRB 20190206B,2019-02-06 13:57:47,58520.58179,CHIME,3:19:12,+79:30:00,129.56,18.58,506.4,355.8,1,19.66,10,9.7,http://chime-frb.ca/catalog/FRB20190206B
FRB 20190206C,2019-02-06 12:26:43,58520.51855,CHIME,13:22:00,+74:23:24,120.17,42.57,439.2,1044.9,0.6,5.9,4,9.3,http://chime-frb.ca/catalog/FRB20190206C
FRB 20190208A,2019-02-08 17:41:50,58522.73739,CHIME,18:54:00,+47:00:00,76.71,19.04,602.7,579.1,0.4,33.42,5,12.2,http://chime-frb.ca/catalog/FRB20190208A
FRB 20190208B,2019-02-08 5:02:49,58522.21029,CHIME,6:04:00,+80:52:48,132.78,24.91,417.9,713.3,10,0.98,14,96.4,http://chime-frb.ca/catalog/FRB20190208B
FRB 20190208C,2019-02-08 8:08:05,58522.33895,CHIME,9:26:12,+83:36:00,128.8,31.03,474.9,237.8,1.3,0.98,1.7,16.3,http://chime-frb.ca/catalog/FRB20190208C
FRB 20190209A,2019-02-09 8:20:21,58523.34747,CHIME,9:37:12,+77:42:00,134.18,34.84,470.1,423.8,0.8,4.92,4,11.8,http://chime-frb.ca/catalog/FRB20190209A
FRB 20190210A,2019-02-10 8:17:14,58524.3453,CHIME,9:37:12,+77:42:00,134.18,34.84,461.8,420.5,0.3,11.8,1.8,10.1,http://chime-frb.ca/catalog/FRB20190210A
FRB 20190210B,2019-02-10 5:36:32,58524.2337,CHIME,6:56:48,+23:42:00,192.11,11.66,400.2,622.7,2.6,2.95,5,43.9,http://chime-frb.ca/catalog/FRB20190210B
FRB 20190210C,2019-02-10 6:03:44,58524.25259,CHIME,19:43:12,+89:06:00,121.95,26.92,448.5,642.1,2.4,1.97,4,19.7,http://chime-frb.ca/catalog/FRB20190210C
FRB 20190210D,2019-02-10 19:14:51,58524.80198,CHIME,20:31:12,+55:30:00,91.53,9.37,611.8,357.5,1.4,1.97,2.5,20.6,http://chime-frb.ca/catalog/FRB20190210D
FRB 20190210E,2019-02-10 20:21:59,58524.8486,CHIME,20:54:48,+86:42:00,119.77,25.39,472.2,580.7,0.7,1.97,1.4,9.5,http://chime-frb.ca/catalog/FRB20190210E
FRB 20190211A,2019-02-11 3:04:55,58525.12842,CHIME,4:28:24,+68:36:00,140.63,13.59,656,1188.9,1.5,3.93,6,20.2,http://chime-frb.ca/catalog/FRB20190211A
FRB 20190211B,2019-02-11 18:37:46,58525.77623,CHIME,19:58:24,+61:24:00,94.41,16.1,440.1,260.4,0.3,0.98,1.3,12.7,http://chime-frb.ca/catalog/FRB20190211B
FRB 20190212A,2019-02-12 16:17:23,58526.67874,CHIME,18:24:24,+81:24:00,113.3,27.8,466.3,300.9,0.4,5.9,3,9.9,http://chime-frb.ca/catalog/FRB20190212A
FRB 20190212B,2019-02-12 7:53:59,58526.32916,CHIME,9:20:00,+52:06:00,165.49,43.61,400.2,600.1,1.6,2.95,4,29,http://chime-frb.ca/catalog/FRB20190212B
FRB 20190212C,2019-02-12 10:04:51,58526.42003,CHIME,11:30:24,+28:08:24,205,72.02,498.1,1012.6,0.7,20.64,12,12.2,http://chime-frb.ca/catalog/FRB20190212C
FRB 20190212D,2019-02-12 10:34:05,58526.44033,CHIME,11:55:12,+66:42:00,131.41,49.47,400.2,1145.2,0.4,21.63,6,9.7,http://chime-frb.ca/catalog/FRB20190212D
FRB 20190213A,2019-02-13 0:42:27,58527.02948,CHIME,2:06:48,+20:06:00,146.06,-39.38,418.9,650.2,0.4,14.75,2,9.5,http://chime-frb.ca/catalog/FRB20190213A
FRB 20190213B,2019-02-13 17:09:33,58527.71496,CHIME,18:24:24,+81:24:00,113.3,27.8,639.2,302.5,0.9,2.95,4,9.5,http://chime-frb.ca/catalog/FRB20190213B
FRB 20190213C,2019-02-13 2:47:46,58527.11651,CHIME,4:17:12,+45:00:00,156.57,-4.02,800.2,357.5,0.6,1.97,1.1,9.9,http://chime-frb.ca/catalog/FRB20190213C
FRB 20190213D,2019-02-13 20:54:17,58527.87103,CHIME,22:25:48,+52:42:00,101.8,-4.08,671.4,1344.1,1,1.97,2,18.7,http://chime-frb.ca/catalog/FRB20190213D
FRB 20190214A,2019-02-14 4:44:47,58528.19777,CHIME,6:24:24,+66:12:00,148.5,22.03,800.2,498.2,0.5,23.59,9,11.4,http://chime-frb.ca/catalog/FRB20190214A
FRB 20190214C,2019-02-14 12:56:57,58528.53955,CHIME,14:35:28.8,+19:24:00,20.45,64.93,463.1,533.8,1,6.88,5,15.5,http://chime-frb.ca/catalog/FRB20190214C
FRB 20190215B,2019-02-15 20:42:02,58529.86252,CHIME,22:20:00,+45:18:00,97,-9.78,400.2,273.4,2,1.97,6,44.5,http://chime-frb.ca/catalog/FRB20190215B
FRB 20190216A,2019-02-16 15:26:58,58530.64373,CHIME,17:05:12,+68:18:00,99.15,34.8,489.2,1268.1,0.9,122.88,50,22.6,http://chime-frb.ca/catalog/FRB20190216A
FRB 20190217A,2019-02-17 4:31:58,58531.18886,CHIME,6:19:36,+43:06:00,170.78,12.79,521.5,797.4,0.3,7.86,1.2,15.4,http://chime-frb.ca/catalog/FRB20190217A
FRB 20190217B,2019-02-17 23:39:23,58531.98568,CHIME,1:30:24,+27:00:00,133.54,-35.12,400.2,847.6,0.5,26.54,6,10.8,http://chime-frb.ca/catalog/FRB20190217B
FRB 20190218A,2019-02-18 10:20:13,58532.43071,CHIME,12:16:24,+56:24:00,132.7,60.04,483.6,1282.7,0.5,2.95,1.6,13.7,http://chime-frb.ca/catalog/FRB20190218A
FRB 20190218B,2019-02-18 16:00:58,58532.66734,CHIME,17:54:48,+17:54:00,43.24,20.34,588,549.9,0.6,17.69,6,11.1,http://chime-frb.ca/catalog/FRB20190218B
FRB 20190218C,2019-02-18 20:20:11,58532.84735,CHIME,10:28:00,+78:00:00,131.7,36.62,440.4,318.6,20,0.98,30,67.5,http://chime-frb.ca/catalog/FRB20190218C
FRB 20190219A,2019-02-19 5:10:27,58533.21559,CHIME,7:03:07.2,+43:06:00,173.87,20.17,400.2,655.1,0.3,3.93,1,23,http://chime-frb.ca/catalog/FRB20190219A
FRB 20190219B,2019-02-19 14:27:02,58533.60211,CHIME,16:25:12,+57:54:00,87.96,41.91,612.2,1675.7,1.1,10.81,14,29.1,http://chime-frb.ca/catalog/FRB20190219B
FRB 20190219C,2019-02-19 21:19:56,58533.88884,CHIME,23:18:48,+49:12:00,107.74,-10.91,613.5,805.5,0.4,4.92,2,9.1,http://chime-frb.ca/catalog/FRB20190219C
FRB 20190220A,2019-02-20 13:57:35,58534.58166,CHIME,15:48:48,+74:12:00,108.97,37.76,400.2,215.1,0.3,1.97,0.7,10.3,http://chime-frb.ca/catalog/FRB20190220A
FRB 20190221A,2019-02-21 6:47:30,58535.28299,CHIME,8:50:24,+9:54:00,217.6,30.89,444.8,224.8,1.2,2.95,2.3,13.6,http://chime-frb.ca/catalog/FRB20190221A
FRB 20190221B,2019-02-21 17:02:57,58535.71038,CHIME,19:07:12,+27:54:00,59.62,9.17,400.2,394.7,0.7,6.88,6,13.7,http://chime-frb.ca/catalog/FRB20190221B
FRB 20190221C,2019-02-21 19:00:43,58535.79217,CHIME,21:04:48,+54:42:00,93.9,5.14,664.9,2038,0.6,14.75,7,19.3,http://chime-frb.ca/catalog/FRB20190221C
FRB 20190221D,2019-02-21 23:29:08,58535.97857,CHIME,1:39:12,+60:54:00,128.71,-1.4,427.2,473.9,0.7,1.97,1.1,10,http://chime-frb.ca/catalog/FRB20190221D
FRB 20190222A,2019-02-22 18:46:01,58536.78196,CHIME,20:52:24,+69:48:00,104.88,15.88,445.3,462.6,1.7,8.85,12,31.2,http://chime-frb.ca/catalog/FRB20190222A
FRB 20190222B,2019-02-22 8:34:35,58536.35735,CHIME,10:42:48,+19:37:12,220.29,59.62,400.2,498.2,0.4,21.63,4,10,http://chime-frb.ca/catalog/FRB20190222B
FRB 20190222C,2019-02-22 13:46:00,58536.57361,CHIME,15:56:43.2,+40:00:00,63.82,49.81,436.3,522.5,0.4,1.97,0.8,16.2,http://chime-frb.ca/catalog/FRB20190222C
FRB 20190222D,2019-02-22 18:47:17,58536.78284,CHIME,20:55:36,+26:36:00,71.38,-11.92,583.6,894.5,0.8,0.98,0.9,9.4,http://chime-frb.ca/catalog/FRB20190222D
FRB 20190223A,2019-02-23 3:36:19,58537.15022,CHIME,4:18:48,+87:42:00,124.98,25.66,444.8,389.8,0.5,3.93,1.6,13.2,http://chime-frb.ca/catalog/FRB20190223A
FRB 20190223B,2019-02-23 18:31:50,58537.77211,CHIME,20:46:24,+60:36:00,96.92,10.76,638.6,535.4,0.5,1.97,0.8,9,http://chime-frb.ca/catalog/FRB20190223B
FRB 20190224A,2019-02-24 2:17:13,58538.09529,CHIME,4:02:00,+83:24:00,128.22,22.58,408.9,821.7,0.6,16.71,8,11.7,http://chime-frb.ca/catalog/FRB20190224A
FRB 20190224B,2019-02-24 3:48:44,58538.15884,CHIME,17:52:48,+82:36:00,114.73,28.76,472.7,839.5,2,1.97,4,10,http://chime-frb.ca/catalog/FRB20190224B
FRB 20190224C,2019-02-24 6:00:37,58538.25043,CHIME,8:16:24,+19:48:00,203.48,27.2,747.4,495,1.4,7.86,8,18.3,http://chime-frb.ca/catalog/FRB20190224C
FRB 20190224D,2019-02-24 7:46:30,58538.32396,CHIME,22:07:36,+89:06:00,122.24,26.41,531.6,752.1,3,1.97,6,29,http://chime-frb.ca/catalog/FRB20190224D
FRB 20190224E,2019-02-24 10:00:49,58538.41723,CHIME,12:12:09.6,+61:30:00,131.07,54.96,454.9,435.1,2,1.97,4,46.5,http://chime-frb.ca/catalog/FRB20190224E
FRB 20190224F,2019-02-24 1:54:18,58538.07937,CHIME,4:02:31,+73:38:24,135.44,15.61,600,190.86,-,-,-,10.96,https://www.wis-tns.org/object/20190224f
FRB 20190226A,2019-02-26 1:36:34,58540.06706,CHIME,3:55:12,+31:54:00,162.45,-16.49,527.9,600.1,1.5,0.98,1.4,10.6,http://chime-frb.ca/catalog/FRB20190226A
FRB 20190226B,2019-02-26 15:48:01,58540.65835,CHIME,18:14:24,+61:48:00,91.05,28.02,585.2,630.8,0.4,18.68,2.4,9.2,http://chime-frb.ca/catalog/FRB20190226B
FRB 20190226C,2019-02-26 22:45:19,58540.94814,CHIME,1:10:00,+26:45:36,128.01,-35.93,433.3,826.5,0.4,4.92,1.4,10.6,http://chime-frb.ca/catalog/FRB20190226C
FRB 20190227A,2019-02-27 4:43:36,58541.19694,CHIME,7:13:36,+56:18:00,160.53,25.29,599.9,393.1,3.6,3.93,13,63.4,http://chime-frb.ca/catalog/FRB20190227A
FRB 20190227B,2019-02-27 12:11:10,58541.50775,CHIME,14:42:00,+39:48:00,68.95,63.82,400.2,331.6,0.5,0.98,0.7,9.4,http://chime-frb.ca/catalog/FRB20190227B
FRB 20190228A,2019-02-28 9:41:02,58542.40349,CHIME,12:13:55.2,+22:54:00,237.34,80.51,664.7,439.9,1.8,30.47,36,37.8,http://chime-frb.ca/catalog/FRB20190228A
FRB 20190228B,2019-02-28 12:44:44,58542.53106,CHIME,3:20:02.4,+81:54:00,128.12,20.61,489.5,1125.8,5,23.59,70,30.5,http://chime-frb.ca/catalog/FRB20190228B
FRB 20190301A,2019-03-01 18:03:02,58543.75211,CHIME,20:52:24,+69:48:00,104.88,15.88,592.1,461,1.8,5.9,9,17.9,http://chime-frb.ca/catalog/FRB20190301A
FRB 20190301B,2019-03-01 2:04:04,58543.08616,CHIME,4:38:00,+74:06:00,136.85,17.71,400.2,619.5,0.4,3.93,0.8,9.3,http://chime-frb.ca/catalog/FRB20190301B
FRB 20190301C,2019-03-01 8:49:22,58543.36762,CHIME,11:27:12,+34:54:00,184.3,70.42,400.2,805.5,0.3,11.8,2.3,9.1,http://chime-frb.ca/catalog/FRB20190301C
FRB 20190301D,2019-03-01 15:49:34,58543.65942,CHIME,18:34:48,+74:40:48,105.7,27.18,425.4,1159.7,0.4,5.9,1.5,10.4,http://chime-frb.ca/catalog/FRB20190301D
FRB 20190302A,2019-03-02 23:37:09,58544.98413,CHIME,2:19:12,+61:18:00,133.26,0.24,400.2,1009.3,0.6,106.17,30,20.4,http://chime-frb.ca/catalog/FRB20190302A
FRB 20190302B,2019-03-02 2:19:57,58544.09719,CHIME,4:54:31,+62:58:48,146.85,12.05,600,452.9,-,-,-,10.2,https://www.wis-tns.org/object/20190302b
FRB 20190303A,2019-03-03 11:05:17,58545.462,CHIME,13:52:00,+48:12:00,97.75,65.81,631.5,223.2,0.5,3.93,3,11.2,http://chime-frb.ca/catalog/FRB20190303A
FRB 20190303B,2019-03-03 5:50:25,58545.24334,CHIME,8:34:57.6,+66:01:48,149.45,35.06,400.2,192.5,9,4.92,40,52.3,http://chime-frb.ca/catalog/FRB20190303B
FRB 20190303C,2019-03-03 8:50:58,58545.36873,CHIME,11:32:48,+26:18:00,211.1,72.48,449.8,1088.6,0.8,5.9,3.5,15.6,http://chime-frb.ca/catalog/FRB20190303C
FRB 20190303D,2019-03-03 9:23:52,58545.39157,CHIME,11:58:24,+70:48:00,129.13,45.64,400.2,710.1,0.6,2.95,1.2,9.8,http://chime-frb.ca/catalog/FRB20190303D
FRB 20190304A,2019-03-04 5:28:11,58546.22791,CHIME,8:18:02.4,+74:36:00,139.8,31.79,419.4,483.6,0.7,2.95,3,22.3,http://chime-frb.ca/catalog/FRB20190304A
FRB 20190304B,2019-03-04 10:53:02,58546.45349,CHIME,13:39:36,+24:12:00,20.4,78.8,400.2,470.7,0.7,2.95,2.2,20.8,http://chime-frb.ca/catalog/FRB20190304B
FRB 20190304C,2019-03-04 12:01:48,58546.50125,CHIME,14:52:00,+26:42:00,39.04,63.18,454.9,564.5,0.5,2.95,1.3,10.8,http://chime-frb.ca/catalog/FRB20190304C
FRB 20190307A,2019-03-07 13:57:48,58549.5818,CHIME,16:58:24,+9:54:00,28.92,29.59,557.1,352.6,-,6.88,-,12.3,http://chime-frb.ca/catalog/FRB20190307A
FRB 20190307B,2019-03-07 14:58:47,58549.62415,CHIME,17:56:48,+38:24:00,64.53,26.61,656.8,291.1,-,22.61,-,11.8,http://chime-frb.ca/catalog/FRB20190307B
FRB 20190308B,2019-03-08 11:12:28,58550.46699,CHIME,2:34:21.6,+83:36:00,125.9,21.35,477.2,179.5,1.1,1.97,1.4,10.3,http://chime-frb.ca/catalog/FRB20190308B
FRB 20190308C,2019-03-08 9:30:42,58550.39632,CHIME,12:33:26.4,+44:24:00,133.59,72.36,453.4,498.2,0.5,21.63,5,22.3,http://chime-frb.ca/catalog/FRB20190308C
FRB 20190309A,2019-03-09 15:26:37,58551.64348,CHIME,18:36:00,+52:24:00,81.37,23.47,442.9,357.5,0.4,1.97,0.7,9.3,http://chime-frb.ca/catalog/FRB20190309A
FRB 20190313A,2019-03-13 9:21:46,58555.39012,CHIME,12:42:00,+65:06:00,124.52,51.97,747.9,365.6,0.4,5.9,1.5,9.4,http://chime-frb.ca/catalog/FRB20190313A
FRB 20190313B,2019-03-13 3:20:06,58555.13896,CHIME,6:48:00,+74:06:00,140.61,25.78,400.2,1192.1,0.7,7.86,2.7,14.1,http://chime-frb.ca/catalog/FRB20190313B
FRB 20190316A,2019-03-16 20:42:15,58558.86267,CHIME,0:20:48,+20:30:00,113.33,-41.79,536.1,516,1.3,1.97,2.5,12.7,http://chime-frb.ca/catalog/FRB20190316A
FRB 20190317A,2019-03-17 2:14:28,58559.09338,CHIME,5:49:36,+44:42:00,166.86,8.75,582.6,1156.5,0.5,1.97,1.2,9.3,http://chime-frb.ca/catalog/FRB20190317A
FRB 20190317B,2019-03-17 3:03:02,58559.12711,CHIME,6:44:02.4,+49:42:00,166.11,19.23,512.6,425.4,0.7,2.95,1.9,9.9,http://chime-frb.ca/catalog/FRB20190317B
FRB 20190317C,2019-03-17 4:47:02,58559.19933,CHIME,8:23:12,+32:06:00,190.52,32.43,472.6,601.7,0.4,28.51,8,11.4,http://chime-frb.ca/catalog/FRB20190317C
FRB 20190317E,2019-03-17 14:40:53,58559.61172,CHIME,18:17:36,+13:18:00,41.12,13.44,800.2,800.7,2.2,3.93,7,14.9,http://chime-frb.ca/catalog/FRB20190317E
FRB 20190317F,2019-03-17 12:09:55,58559.50689,CHIME,15:45:00,+47:06:00,75.21,50.75,434.8,1125.8,1.6,20.64,30,53.6,http://chime-frb.ca/catalog/FRB20190317F
FRB 20190318A,2019-03-18 17:44:03,58560.73892,CHIME,21:36:24,+74:30:00,110.81,16.39,402.9,420.5,1.6,12.78,14,24.8,http://chime-frb.ca/catalog/FRB20190318A
FRB 20190319A,2019-03-19 3:46:02,58561.15697,CHIME,7:33:36,+5:42:00,212.61,12,640.9,2041.3,2.8,8.85,19,22.3,http://chime-frb.ca/catalog/FRB20190319A
FRB 20190320A,2019-03-20 0:21:02,58562.01461,CHIME,4:06:24,+63:24:00,142.85,8.3,400.2,613,0.9,2.95,4,15.7,http://chime-frb.ca/catalog/FRB20190320A
FRB 20190320B,2019-03-20 12:47:34,58562.53303,CHIME,16:41:36,+39:36:00,63.19,41.2,400.2,490.1,0.7,2.95,1.9,17.9,http://chime-frb.ca/catalog/FRB20190320B
FRB 20190320C,2019-03-20 13:08:58,58562.54789,CHIME,16:58:48,+22:24:00,42.68,34.17,442,367.2,1.2,3.93,3.1,11.4,http://chime-frb.ca/catalog/FRB20190320C
FRB 20190320D,2019-03-20 13:33:08,58562.56468,CHIME,17:28:48,+59:06:00,87.69,33.53,634.8,1151.7,0.5,33.42,11,12.5,http://chime-frb.ca/catalog/FRB20190320D
FRB 20190320E,2019-03-20 23:19:26,58562.97183,CHIME,5:06:24,+89:12:00,123.78,26.75,592.6,299.2,4,2.95,12,32.7,http://chime-frb.ca/catalog/FRB20190320E
FRB 20190322A,2019-03-22 3:28:05,58564.1445,CHIME,7:23:12,+51:18:00,166.31,25.61,563,1054.6,0.6,23.59,10,19,http://chime-frb.ca/catalog/FRB20190322A
FRB 20190322B,2019-03-22 4:44:55,58564.19786,CHIME,8:48:00,+73:18:00,140.54,34.14,400.2,577.4,0.6,2.95,2,10.1,http://chime-frb.ca/catalog/FRB20190322B
FRB 20190322C,2019-03-22 15:44:18,58564.65576,CHIME,19:45:36,+70:42:00,102.77,21.2,400.2,1192.1,4,2.95,13,53.1,http://chime-frb.ca/catalog/FRB20190322C
FRB 20190322D,2019-03-22 7:00:12,58564.29181,UTMOST,4:46:14,-66:55:28,278.17,-36.92,835,724.2,-,1.35,16,12,https://www.wis-tns.org/object/20190322d
FRB 20190323A,2019-03-23 3:27:58,58565.14442,CHIME,7:29:36,+34:30:00,184.44,22.29,542.7,855.7,0.7,3.93,2.7,14.7,http://chime-frb.ca/catalog/FRB20190323A
FRB 20190323B,2019-03-23 8:42:56,58565.36315,CHIME,12:52:52.8,+77:12:00,122.83,39.89,586.4,787.7,7,0.98,11,57.2,http://chime-frb.ca/catalog/FRB20190323B
FRB 20190323C,2019-03-23 9:17:12,58565.38694,CHIME,13:18:00,+40:06:00,101.57,75.94,454.3,380.1,0.6,2.95,1.4,11.5,http://chime-frb.ca/catalog/FRB20190323C
FRB 20190323D,2019-03-23 23:47:28,58565.9913,CHIME,3:47:36,+46:54:00,151.43,-5.97,400.2,760.2,0.4,12.78,2.5,9.4,http://chime-frb.ca/catalog/FRB20190323D
FRB 20190325A,2019-03-25 4:19:46,58567.18039,CHIME,8:41:36,+83:06:00,130.04,30.15,400.2,357.5,1.3,2.95,5,13.3,http://chime-frb.ca/catalog/FRB20190325A
FRB 20190325B,2019-03-25 8:03:23,58567.33568,CHIME,12:15:36,+30:19:12,188.67,81.54,476.9,1730.7,0.7,6.88,3.8,9.8,http://chime-frb.ca/catalog/FRB20190325B
FRB 20190325C,2019-03-25 23:26:06,58567.97646,CHIME,3:35:36,+60:12:00,142.01,3.52,542.7,799,0.6,8.85,3.8,11.7,http://chime-frb.ca/catalog/FRB20190325C
FRB 20190326A,2019-03-26 6:39:15,58568.27726,CHIME,10:47:36,+74:12:00,133.5,40.27,458,283.1,1,0.98,1.5,11.7,http://chime-frb.ca/catalog/FRB20190326A
